Comment,Designator,Footprint,LCSC, LCSC
"1uF","C101","Capacitor_SMD:C_0805_2012Metric","","C28323"
"10nF","C102,C120,C119,C136,C135,C134,C133","Capacitor_SMD:C_0805_2012Metric","","C1710"
"220uF","C104,C103,C107,C108,C118,C117","Capacitor_SMD:CP_Elec_8x10","","C311611"
"100nF","C122,C121,C105,C106,C123,C132,C116,C115,C114,C113,C112,C111,C110,C109,C124,C125,C126,C127,C128,C129,C130,C131,C138,C139,C140","Capacitor_SMD:C_0805_2012Metric","","C49678"
"10uF","C137","Capacitor_SMD:C_0805_2012Metric","","C15850"
"SS54HF","D101,D102,D103","e-Power:DO-214AC","","C22452"
"LED","D105,D104,D106,D107,D108,D109","LED_SMD:LED_0805_2012Metric","","C205444"
"Fuse","F101","e-Power:FUSE_1206_3216Metric","","C182445"
"MountingHole_Pad","H101,H102,H103,H104","e-Power:MountingHole_4mm_Pad_Via",""
"MountingHole_Pad","H105","e-Power:MountingHole_3.2mm_M3_Pad",""
"Input_01x02","J102","e-Power:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",""
"Screw_Terminal_01x04","J105","e-Power:TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",""
"Screw_Terminal_01x08","J106,J104,J103,J101","e-Power:TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",""
"Conn_01x07_Male","J107","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Horizontal",""
"Ferrite","L101","e-Power:FB_0603_1608Metric","","C1002"
"15uH","L102,L103,L105,L104,L107,L106","e-Power:L_10.4x10.4_H4.8","","C151872"
"BT136-600","Q101,Q102,Q103,Q104","Package_TO_SOT_SMD:TO-252-2","","C153060"
"15R","R104,R103,R102,R101","Resistor_SMD:R_0805_2012Metric","","C17480"
"1K","R106,R105,R108,R107,R110,R109,R112,R111","Resistor_SMD:R_0805_2012Metric","","C17513"
"2.2R","R113","Resistor_SMD:R_0805_2012Metric","","C17521"
"10K","R115,R114,R117,R116,R118,R120,R122,R123,R140,R124,R141,R125,R142,R126,R143,R127,R144,R128,R145,R129,R146,R139,R119,R121","Resistor_SMD:R_0805_2012Metric","","C17414"
"1K2","R131","Resistor_SMD:R_0805_2012Metric","","C17379"
"3K9","R133","Resistor_SMD:R_0805_2012Metric","","C17614"
"100R","R134,R153,R154,R155,R156,R157,R158","Resistor_SMD:R_0805_2012Metric","","C17408"
"ADJ","R135,R130,R136,R132","Resistor_SMD:R_0805_2012Metric",""
"12K","R137","Resistor_SMD:R_0805_2012Metric","","C17444"
"2K7","R138","Resistor_SMD:R_0805_2012Metric","","C17530"
"330R","R159,R160,R161,R162,R152,R151,R150,R149,R148,R147","Resistor_SMD:R_0805_2012Metric","","C17630"
"470R","R163,R164,R165,R166","Resistor_SMD:R_0805_2012Metric","","C17710"
"39R","R170,R169,R168,R167","Resistor_SMD:R_0805_2012Metric","","C17757"
"0R","R171","Resistor_SMD:R_0805_2012Metric","","C17477"
"LM358","U102,U101","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","C7950"
"LM2596S-ADJ","U103,U104","Package_TO_SOT_SMD:TO-263-5_TabPin3","","C52684"
"TLP290-4","U105,U106","e-Power:SOIC-16_4.55x10.3mm_P1.27mm(TLP290-4)","","C39031"
"KAQY214S","U107,U108","Package_SO:SO-4_4.4x4.3mm_P2.54mm","","C113331"
"MOC3023S","U109,U110,U111,U112","Package_DIP:DIP-6_W8.89mm_SMDSocket_LongPads","","C115469"
"SIM800L","U113","e-Power:SIM800L",""
"ESP32-dev-board","U114","e-Power:ESP-32-dev-kit",""
